,customer_id,anomaly_score,avg_path_length,risk_score,is_anomaly
61404,SYNID0200999280,-0.2700394929019565,3.8622341325181706,100.0,1
60854,SYNID0200931678,-0.2648470964020423,3.962234132518141,99.16338743384692,1
53928,SYNID0200100125,-0.25349391470098737,4.183270200519177,97.31417191321906,1
58748,SYNID0200684443,-0.2508964733471376,4.234308056093956,96.88718279998527,1
54408,SYNID0200159270,-0.25049440949887414,4.242224097323998,96.82095620431286,1
58713,SYNID0200681268,-0.23790630988490802,4.492234132517981,94.72934083323565,1
54426,SYNID0200161910,-0.224263168377977,4.768060677883735,92.42174129391917,1
57459,SYNID0200528685,-0.22362145362940067,4.781161992625684,92.31213404845673,1
60176,SYNID0200850567,-0.21487942999837473,4.960806513575524,90.80920541178442,1
54498,SYNID0200170423,-0.21376809149930032,4.983801234405316,90.61682868777051,1
57761,SYNID0200567030,-0.21083748490135656,5.044610573318475,90.10809011702825,1
58362,SYNID0200639063,-0.2106412670577379,5.048690993768055,90.07395280679519,1
56878,SYNID0200460216,-0.20682005110323043,5.128379962162665,89.40726488336793,1
53126,SYNID0200005059,-0.20625460172851273,5.140208618967936,89.30830485412788,1
58037,SYNID0200600012,-0.20288235660131537,5.210950001903471,88.71647355501857,1
60179,SYNID0200850670,-0.19969888885308995,5.278043426385555,88.15516153473885,1
60223,SYNID0200855360,-0.1984238420025296,5.30500143160288,87.92962747550644,1
53952,SYNID0200103927,-0.19369345495957524,5.405446658626717,87.08929008412379,1
53277,SYNID0200021203,-0.18866745811693808,5.512922156597781,86.19013656256202,1
54334,SYNID0200151421,-0.18678203403462756,5.553442345471814,85.85113957061279,1
59381,SYNID0200757363,-0.1859499117055884,5.571361118769454,85.70122886150419,1
60258,SYNID0200859953,-0.18090868779531966,5.680384878186149,84.78912239013137,1
53576,SYNID0200057370,-0.18044286553090294,5.6904996654791224,84.70450080859867,1
54720,SYNID0200196852,-0.18032467279116127,5.693067184365064,84.68302062296053,1
56241,SYNID0200384611,-0.17992504673971088,5.701751626899652,84.61036548541581,1
59125,SYNID0200729226,-0.17953281607128235,5.710280322133697,84.53901334935885,1
54231,SYNID0200136950,-0.17688179381303193,5.7680537657359165,84.05567346028319,1
57629,SYNID0200550469,-0.17588279245750604,5.789883614018609,83.87304220637797,1
59448,SYNID0200763817,-0.17443602484587672,5.821555170751986,83.60807398285017,1
59647,SYNID0200786655,-0.1743697610532149,5.823007394906159,83.59592449308764,1
59412,SYNID0200760091,-0.17414318601131484,5.827974046994657,83.55437285759815,1
56145,SYNID0200372400,-0.1718901108935036,5.877453747264521,83.14041946744547,1
60543,SYNID0200895231,-0.1712009467814095,5.892621597105359,83.01352332966175,1
