customer_id,aml_risk_score,raw_anomaly_score,is_alerted,risk_level
SYNID0105890772,99.99999999999999,-0.2053926837488101,1,High
SYNID0109825639,98.9000588335526,-0.20148024876745857,1,High
SYNID0103568592,98.43662687001827,-0.1998318447610295,1,High
SYNID0107845889,96.37554513853364,-0.19250068150278915,1,High
SYNID0100797139,96.3522552587124,-0.19241784058065298,1,High
SYNID0101094714,95.86353113980297,-0.19067947365942278,1,High
SYNID0105741656,95.84813500332135,-0.1906247103822714,1,High
SYNID0107065714,94.36592910915945,-0.18535257913854836,1,High
SYNID0107241416,94.2135115852755,-0.1848104377309851,1,High
SYNID0105415860,94.20987354651622,-0.18479749741150303,1,High
SYNID0105603042,93.98174577159205,-0.1839860584781699,1,High
SYNID0106279260,93.89658451377815,-0.18368314420030624,1,High
SYNID0105411519,93.80219014483976,-0.18334738821412927,1,High
SYNID0100696816,93.52671426233826,-0.1823675344618612,1,High
SYNID0104466963,93.07492361761017,-0.1807605380364155,1,High
SYNID0109146900,92.43767759631164,-0.17849388623583967,1,High
SYNID0107340625,92.38607537360232,-0.17831033974498917,1,High
SYNID0101511348,92.07865738751019,-0.177216869549153,1,High
SYNID0102609740,91.89990595598954,-0.17658105976679267,1,High
SYNID0104193125,91.81109291526283,-0.17626515628218936,1,High
SYNID0102231439,90.78219272463473,-0.17260541045129701,1,High
SYNID0104816428,90.72761279948298,-0.17241127242377602,1,High
SYNID0104960761,90.69600897820021,-0.17229885923323202,1,High
SYNID0100275317,90.59486949301728,-0.1719391112104322,1,High
SYNID0106910053,90.1469002263497,-0.1703457072330709,1,High
SYNID0104377094,89.99140847003488,-0.16979263093656066,1,High
SYNID0101582565,89.95143292536369,-0.1696504399502234,1,High
SYNID0103550907,89.94750413839452,-0.16963646545409455,1,High
SYNID0107594313,89.53493668484417,-0.168168983931741,1,High
SYNID0102728571,89.52261190365851,-0.16812514530971362,1,High
SYNID0102770670,88.71468479383003,-0.1652513895277707,1,High
SYNID0100264783,88.4695788908469,-0.16437956025342487,1,High
SYNID0109533599,88.16597117815866,-0.16329964300697236,1,High
SYNID0104061187,87.88197710852397,-0.16228949049479408,1,High
SYNID0105161660,87.8422751490401,-0.16214827263710213,1,High
SYNID0109698732,87.71574827558572,-0.16169822296091557,1,High
SYNID0103491795,87.39528815345639,-0.16055836254820227,1,High
SYNID0101193908,87.37227902878816,-0.16047652025791598,1,High
SYNID0102149352,86.97626977577326,-0.15906793541565706,1,High
